date,% Change
7/17/18,-0.074943946
7/18/18,0.094468241
7/19/18,-0.055140924
7/20/18,0.033126301
7/21/18,0.01088287
7/22/18,-0.082665378
7/23/18,0.011767772
7/24/18,0.009071413
7/25/18,-0.048599986
7/26/18,-0.011227197
7/27/18,0.050032634
7/28/18,0.002935077
7/29/18,-0.037277411
7/30/18,0.014505104
7/31/18,-0.014885941
8/1/18,-0.02144307
8/2/18,-0.00675457
8/3/18,0.034513108
8/4/18,-0.009820657
8/5/18,-0.002338228
8/6/18,0.011139019
8/7/18,0.036278798
8/8/18,0.006206177
8/9/18,-0.019940824
8/10/18,0.010331431
8/11/18,0.002155967
8/12/18,-0.028267983
8/13/18,-0.009371263
8/14/18,-0.01185791
8/15/18,-0.01955894
8/16/18,0.027195403
8/17/18,0.057963779
8/18/18,-5.77261E-05
8/19/18,-0.015753641
8/20/18,-0.020158736
8/21/18,-0.019365815
8/22/18,0.024191426
8/23/18,0.001621916
8/24/18,0.029788171
8/25/18,-0.005124175
8/26/18,-0.048443826
8/27/18,-0.023047637
8/28/18,-0.011010251
8/29/18,0.006730594
8/30/18,0.002849744
8/31/18,0.018127576
9/1/18,0.016445712
9/2/18,-0.006406269
9/3/18,-0.008526465
9/4/18,-0.014104184
9/5/18,-0.00132462
9/6/18,-0.0017829
9/7/18,0.018858656
9/8/18,-3.6508E-06
9/9/18,-0.025026172
9/10/18,-0.001334804
9/11/18,0.00186354
9/12/18,0.002414219
9/13/18,0.016207416
9/14/18,0.028305111
9/15/18,-0.023276529
9/16/18,-0.02049065
9/17/18,-0.007050421
9/18/18,-0.005484396
9/19/18,0.0087188
9/20/18,-0.003090922
9/21/18,0.039183972
9/22/18,-0.001316955
9/23/18,-0.042602702
9/24/18,-0.046999571
9/25/18,-0.000756667
9/26/18,0.004700379
9/27/18,0.012612487
9/28/18,0.052864439
9/29/18,-0.003406356
9/30/18,-0.022686497
10/1/18,0.006252542
10/2/18,0.007723174
10/3/18,-0.000150831
10/4/18,-0.012973641
10/5/18,0.026358382
10/6/18,-0.002090471
10/7/18,-0.014020026
10/8/18,-0.003387553
10/9/18,-0.003574806
10/10/18,0.005025633
10/11/18,0.001769037
10/12/18,0.005033358
10/13/18,0.008352086
10/14/18,0.003141788
10/15/18,0.003339166
10/16/18,-0.003329598
10/17/18,0.002635567
10/18/18,-0.013763155
10/19/18,0.046199053
10/20/18,0.000783683
10/21/18,-0.020444989
10/22/18,-0.012174046
10/23/18,-0.006943146
10/24/18,-0.001694004
10/25/18,-0.008184651
10/26/18,0.034373194
10/27/18,0.002205576
10/28/18,-0.025271215
10/29/18,-0.00323147
10/30/18,-0.00636539
10/31/18,-0.011491272
11/1/18,-0.006813083
11/2/18,0.040483106
11/3/18,-1.44817E-06
11/4/18,-0.022264208
11/5/18,-0.007736101
11/6/18,0.001141709
11/7/18,-0.004055585
11/8/18,-0.005042417
11/9/18,0.030932939
11/10/18,0.002277946
11/11/18,-0.027187449
11/12/18,-0.001129471
11/13/18,0.030170283
11/14/18,-0.000167594
11/15/18,-0.013884199
11/16/18,0.029577201
11/17/18,0.005310231
11/18/18,-0.019052871
11/19/18,-0.004777861
11/20/18,-0.004075329
11/21/18,0.010603566
11/22/18,0.010128043
11/23/18,0.018650144
11/24/18,0.01325331
11/25/18,-0.026091545
11/26/18,-0.013375812
11/27/18,-0.003737238
11/28/18,-0.000462698
11/29/18,-0.002606597
11/30/18,0.035000194
12/1/18,0.004069356
12/2/18,-0.026043455
12/3/18,-0.000907096
12/4/18,-0.004411153
12/5/18,-0.002572952
12/6/18,0.006219833
12/7/18,0.0139605
12/8/18,0.004003861
12/9/18,-0.020409879
12/10/18,0.00632063
12/11/18,-0.000563461
12/12/18,-0.003571816
12/13/18,-0.018635405
12/14/18,0.033000999
12/15/18,-0.002451031
12/16/18,-0.008047453
12/17/18,-0.00336842
12/18/18,-0.000236948
12/19/18,0.008663462
12/20/18,0.000960679
12/21/18,0.040767039
12/22/18,-0.001512309
12/23/18,-0.01709952
12/24/18,0.010225909
12/25/18,-0.004919039
12/26/18,0.006404946
12/27/18,-0.001082982
12/28/18,0.027864127
12/29/18,0.004056362
12/30/18,-0.00800683
12/31/18,-0.009071659
1/1/19,-0.051064552
1/2/19,-0.032092868
1/3/19,-0.0116322
1/4/19,0.005812084
1/5/19,-0.008282701
1/6/19,-0.038488893
1/7/19,-0.008792761
1/8/19,0.004642777
1/9/19,0.003674031
1/10/19,0.009312626
1/11/19,0.050162491
1/12/19,-0.001029665
1/13/19,-0.03420902
1/14/19,-0.010774591
1/15/19,-0.005381955
1/16/19,-0.001917329
1/17/19,0.047469005
1/18/19,0.028661739
1/19/19,0.002513861
1/20/19,-0.025037877
1/21/19,-0.002556744
1/22/19,-1.44005E-05
1/23/19,0.001581203
1/24/19,0.001663883
1/25/19,0.023560943
1/26/19,0.000653936
1/27/19,-0.022991715
1/28/19,-0.002716822
1/29/19,0.000621365
1/30/19,0.001385703
1/31/19,0.003442237
2/1/19,0.038395206
2/2/19,0.001772815
2/3/19,-0.022012287
2/4/19,-0.00106868
2/5/19,-0.001114868
2/6/19,0.000479139
2/7/19,0.000467641
2/8/19,0.023743577
2/9/19,-0.012403338
2/10/19,-0.020867366
2/11/19,-0.001556933
2/12/19,0.001301839
2/13/19,0.000639416
2/14/19,0.002401248
2/15/19,0.023347044
2/16/19,0.004125145
2/17/19,-0.024010517
2/18/19,-0.003239451
2/19/19,-0.000189925
2/20/19,0.001781945
2/21/19,0.000496699
2/22/19,0.02331015
2/23/19,0.001135512
2/24/19,-0.022969448
2/25/19,-0.002365531
2/26/19,0.000473005
2/27/19,0.00011041
2/28/19,0.000568973
3/1/19,0.029850681
3/2/19,0.001571
3/3/19,-0.023791447
3/4/19,-0.001409264
3/5/19,9.14571E-05
3/6/19,0.000379864
3/7/19,0.001974542
3/8/19,0.024012387
3/9/19,0.001006578
3/10/19,-0.025958295
3/11/19,-0.008162514
3/12/19,0.001245247
3/13/19,0.000741127
3/14/19,0.001145729
3/15/19,0.027665637
3/16/19,0.001719327
3/17/19,-0.025530199
3/18/19,-0.000103199
3/19/19,0.001384892
3/20/19,0.000704606
3/21/19,0.001336124
3/22/19,0.027267072
3/23/19,0.000315015
3/24/19,-0.028206622
3/25/19,-0.002883091
3/26/19,0.000703371
3/27/19,0.000709445
3/28/19,0.002966118
3/29/19,0.025105249
3/30/19,0.00018793
3/31/19,-0.026249748
4/1/19,0.003826784
4/2/19,0.000558822
4/3/19,0.000479255
4/4/19,0.001263734
4/5/19,0.025481274
4/6/19,0.001024964
4/7/19,-0.025353327
4/8/19,-4.74458E-05
4/9/19,0.000834527
4/10/19,0.00033
4/11/19,0.000239752
4/12/19,0.025355278
4/13/19,0.001183593
4/14/19,-0.026597829
4/15/19,-0.000494717
4/16/19,0.001256174
4/17/19,0.000417968
4/18/19,0.002140323
4/19/19,0.025492231
4/20/19,-0.000195031
4/21/19,-0.026448873
4/22/19,-0.001743787
4/23/19,0.000783399
4/24/19,0.000366735
4/25/19,0.001458766
4/26/19,0.026823139
4/27/19,0.001048164
4/28/19,-0.026214068
4/29/19,-0.001282091
4/30/19,8.46115E-05
5/1/19,0.001503461
5/2/19,-2.83899E-05
5/3/19,0.024707829
5/4/19,0.000462371
5/5/19,-0.024099053
5/6/19,-0.000763417
5/7/19,0.004746083
5/8/19,0.00151251
5/9/19,0.000305625
5/10/19,0.025270111
5/11/19,-0.001620741
5/12/19,-0.021591657
5/13/19,-0.001141269
5/14/19,-0.000363202
5/15/19,0.00125309
5/16/19,0.005728408
5/17/19,0.036069142
5/18/19,0.000375063
5/19/19,-0.02677645
5/20/19,-0.011993107
5/21/19,-0.003718751
5/22/19,-0.000246799
5/23/19,0.001338299
5/24/19,0.026053913
5/25/19,0.004772105
5/26/19,-0.026802221
5/27/19,-0.003702065
5/28/19,-0.001350711
5/29/19,0.001411677
5/30/19,0.002906864
5/31/19,0.024911277
6/1/19,0.002832635
6/2/19,-0.024095727
6/3/19,-0.001912706
6/4/19,0.001047769
6/5/19,0.003686221
6/6/19,0.00094633
6/7/19,0.02560168
6/8/19,0.000248384
6/9/19,-0.024490941
6/10/19,-0.002602909
6/11/19,0.001180664
